ⲟ,"great"
ⲙⲉϣϣⲱⲧ,"plain, field"
ⲧϣⲟⲩⲓⲟ,"dry (trans.), make dry, parch"
ⲥⲓⲛⲁⲡⲛ,"mustard"
ⲗⲉⲡⲁϣⲓ,"trunks (of trees)"
ⲭⲟⲣⲓⲟⲛ,"afterbirth, inner membrane"
ⲕⲁⲧⲏⲛⲏ,"chain (substnative)"
ⲁⲛⲓⲕⲁⲙ,"(kind of) vitriol"
ⲁⲑⲉⲧⲓⲛ,"to disown, reject s.th. (object: content)"
ⲥⲱⲇⲓⲟⲛ,"(animal) figure, statue, effigy"
ⲕⲟⲗⲁⲍⲉ,"to punish (object: unclear)"
ⲙⲁϧⲟⲩⲗ,"chisel, pick"
ⲥⲛⲧⲁⲍⲉ,"to instruct, appoint s.o. to do s.th. (object2: purpose clause)"
ϩⲉⲗⲗⲏⲛ,"Greek"
ⲙⲟⲗⲟⲭⲏ,"mallow, Malva silvestris"
ⲭⲟⲩⲁⲓⲛ,"marble"
ⲡⲓⲕⲣⲓⲁ,"bitterness"
ⳉⲁⲣⲃⲉⲗ,"hard-eyed"
ⲑⲁⲗⲗⲓⲥ,"sack (specific sense unclear)"
ⲧⲟⲗⲙⲁⲛ,"to dare do s.th. (object: infinitive or conjunctive clause)"
ⲙⲓⲗⲓⲟⲥ,"a Roman mile (= 1478.5m)"
ⲛⲁⲩⲃⲉⲛ,"footstep"
ⲫⲁⲥⲓⲗⲉ,"phaselos; a kind of bean (Vigna sinensis)"
ⲟⲩⲕⲉⲧⲓ,"no longer, not anymore"
ϥⲟⲣϥⲉⲣ,"fall, rush down"
ⲃⲁϣⲟⲩⲣ,"saw"
ⲃⲁⲣⲛⲉϩ,"linseed (?)"
ⳉⳉⲧⲱⲣϣ,"rust, red blight"
ⲕⲗⲏⲣⲟⲩ,"to obtain, take"
ⲑⲟⲩⲉⲗⲟ,"overflow, submerge"
ϫⲁⲫⲟϫⲓ,"spine, vertebrae"
ⲕⲁⲩⲥⲱⲛ,"heat, burning"
ⲕⲧⲓⲥⲙⲁ,"foundation, building, edifice"
ⲧⲣⲓⲡⲟⲥ,"tripod (substantive)"
ϩⲉⲛⲛⲁⲥ,"ennead (group of nine)"
ⲕⲣⲟⲕⲟⲥ,"saffron crocus"
ⲭⲣⲟⲛⲟⲥ,"time (specific sense unclear)"
ⲅⲛⲟⲫⲟⲥ,"darkness"
ⲥⲓⲅⲛⲟⲛ,"banner, standard"
ⲃⲉϩⲃⲉϩ,"howling, barking"
ⲉⲣⲏⲙⲓⲁ,"desert, waste(land)"
ⲁⲙⲉⲗⲉⲓ,"to be negligent, careless (specific sense unclear)"
ⲡⲗⲏⲣⲉⲥ,"full, total (at the end of a list)"
ⲉⲩⲫⲩⲏⲥ,"naturally gifted, intelligent"
ⲇⲓⲙⲓⲟⲥ,"precious, valued (inverted attributive; attributive referent)"
ϩⲓⲇⲓⲟⲛ,"own (possessive)"
ⲁⲙⲱⲙⲟⲙ,"amomum tree"
ⲥⲛⲏⲓⲛⲓ,"irrigation machine"
ⲭⲱⲣⲓⲟⲛ,"town, district"
ⲧⲁⲣⲁⲭⲏ,"disturbance, trouble"
ⲭⲁⲣⲧⲏⲥ,"papyrus (specific sense unclear)"
ⲇⲣⲁⲕⲱⲛ,"serpent (substantive)"
ⲁⲣⲙⲁⲣⲁ,"wild rue"
ⲑⲗⲓⲯⲓⲥ,"oppression, affliction, trouble"
ⲃⲁⲣϣⲓⲛ,"caulker, caulker's material, act of caulking?"
ⲁⲗⲓⲟⲩⲓ,"lift, pick up!"
ⲭⲁⲗⲁⲍⲁ,"hail, hail-storm"
ⲕⲟⲩⲗⲱⲗ,"wrap, wind"
ⲁⲯⲩⲭⲟⲛ,"lifeless, inanimate thing/being (substantive)"
ⲁⲇⲓⲕⲟⲛ,"unjust (attributive)"
ⲁⲧⲓⲙⲓⲁ,"dishonor, disgrace"
ⲁⲕⲁⲕⲟⲥ,"innocent, without guile (attributive)"
ⲫⲟⲓⲛⲓⲝ,"palm-tree, date-tree"
ⲕⲟⲩⲣⲓⲥ,"tick (substantive)"
ⲁⲝⲉⲓⲛⲏ,"axe"
ⲑⲏⲣⲓⲟⲛ,"feral land animal, beast"
ⲕⲁⲧⲏⲭⲏ,"to wait for s.o."
ⲧⲟⲓⲛⲩⲛ,"therefore, accordingly (introduces a logical conclusion)"
ⲡⲉⲙⲡⲧⲉ,"fifth (attributive)"
ⲡⲁⲣⲁⲃⲁ,"to turn aside from, abandon s.o."
ⲁⲛⲁⲅⲕⲏ,"necessity (general, or specific sense unclear)"
ⲥⲕⲁⲫⲟⲥ,"a small boat, ship"
ⲁⲛⲟⲙⲟⲥ,"lawless (specific sense unclear)"
ⲥⲓⲥⲙⲟⲥ,"earthquake"
ⲡⲁⲣⲑⲟⲥ,"Parthian"
ⲭⲁⲗⲕⲟⲩ,"copper, bronze, metal"
ⲧⲓⲥⲕⲟⲥ,"quoit, dish, disk (substantive)"
ⲕⲣⲁⲥⲓⲥ,"climate"
ⲭⲣⲁⲓⲟⲥ,"obligation, duty, debt"
ϭⲗⲱⲟⲩϣ,"maimed, paralysed person"
ⲁⲗⲗⲱⲕⲓ,"a plant"
ⲯⲉⲕⲧⲱⲥ,"in a blameworthy way"
ⲡⲉⲛⲑⲉⲓ,"to be sad, to grieve"
ⲭⲟⲣⲩⲙⲁ,"plot, estate, piece of land"
ⲕⲟⲣⲃⲁⲛ,"temple treasury"
ⲙⲁⲉⲓϩϥ,"meaning unknown (object sent (?) by writer of letter)"
ⲙⲓⲗⲓⲟⲛ,"a Roman mile (= 1478.5m)"
ⲁⲛϣⲓⲣⲓ,"species of bean (phaseolus)"
ⲁⲥⲟⲩⲗⲓ,"butterflies"
ⲭⲁⲣⲱϫⲓ,"mallet"
ⲇⲁⲡⲁⲛⲏ,"(payment/expenditure of) money"
ⲁⲛⲍⲏⲃⲉ,"school"
ⲭⲣⲓⲥⲙⲁ,"oil (initiatory, salvific)"
ⲑⲣⲟⲛⲟⲥ,"throne, seat"
ⲇⲓⲁⲕⲱⲛ,"servant, assistant (specific sense unclear)"
ⲕⲁⲓⲧⲟⲓ,"and yet, moreover"
ⲛⲓⲧⲣⲟⲩ,"natron, sodium carbonate"
ⲙⲁⲅⲉⲩⲉ,"to use magic, enchant s.o."
ⲃⲗⲃⲓⲗⲉ,"(a single) grain"
ⲉⲩⲕⲉⲣⲓ,"to have leisure/time for s.o."
ⲧⲉⲗⲓⲟⲩ,"to fulfill, complete, carry out s.th."
ⲁⲗⲟⲅⲟⲛ,"mindless, unreasoning (specific sense unclear)"
ⲁⲗⲟⲅⲟⲥ,"without reason, dumb, feral (attributive)"
ⲙⲉⲥⲁⲥⲉ,"to divide s.th."
ⲙⲡⲣⲉⲡⲉ,"to befit s.o. (object: God)"
ⲁⲛⲟⲙⲓⲁ,"lawlessness (general, or specific sense unclear)"
ⲉⲙⲉϣⲏⲓ,"except"
ⲕⲁⲣⲟⲓⲁ,"nut-bearing tree"
ⲑⲉⲱⲣⲓⲛ,"to see s.th."
ⲧⲉⲗⲉⲱⲥ,"completely, absolutely"
ⲥⲱϯⲟⲩⲛ,"picture, sign, drawing, symbol"
ⲙⲟⲩⲗⲗⲁ,"mule"
ⲃⲁϣⲟⲩϣ,"rue (Ruta graveolens vel montana)"
ⲕⲧⲓⲥⲓⲥ,"creation (specific sense unclear)"
ⲥⲡⲟⲩⲇⲏ,"zeal, diligence"
ⲁⲭⲁⲧⲏⲥ,"agate"
ⲗⲟⲅⲓⲕⲏ,"reasonable, rational (attributive)"
ⲥⲧⲁⲥⲓⲥ,"place, position"
ⲁⲑⲩⲣⲁⲥ,"gruel"
ⲗⲉⲩⲕⲟⲛ,"light, bright, clear, white (attributive)"
ⲗⲟⲅⲓⲍⲉ,"to consider, take stock of oneself"
ⲕⲣⲏⲧⲉⲥ,"Cretans"
ⲕⲁⲇⲙⲓⲁ,"cadmia, calamine"
ⲡⲉⲣⲙⲟⲩ,"mondsüchtig"
ⲑⲟⲩⲑⲟⲩ,"to have the skin disease lentigo"
ⲡⲗⲏⲥⲥⲉ,"to be dumbstruck, amazed, wowed (object: none)"
ϩⲉⲗⲡⲓⲥ,"hope"
ⲙⲓⲟⲗⲱⲛ,"bitumen"
ⲁⲛⲟⲙⲉⲓ,"to break the law, act lawlessly"
ⲇⲏⲙⲓⲟⲥ,"public executioner (substantive)"
ⲕⲉⲃⲓⲱⲛ,"kabion (hollow measure)"
ⲑⲁⲣⲣⲉⲓ,"to be confident (object: none)"
ϫⲁⲣⲉⲃ-,"exposed"
ⲧⲁⲡⲁⲛⲏ,"to spend/make expenditures (object: none)"
ⲟⲩⲁⲓⲃⲉ,"meaning unknown"
ⲕⲟⲡⲣⲟⲥ,"excrement, dung"
ⲕⲁⲑⲏⲅⲓ,"to instruct, teach s.o."
ⲅⲉⲛⲏⲙⲁ,"produce, product, fruit"
ⲍⲏⲧⲏⲙⲁ,"issue, question, problem"
ⲧⲣⲓⲧⲏⲥ,"third"
ⲛⲩⲙⲯⲓⲥ,"sobriety"
ⲗⲁⲙⲡⲁⲥ,"lamp"
ⲃⲟⲏⲑⲓⲛ,"to help (object: none)"
ⲕⲉⲣⲁⲓⲁ,"strip of cloth"
ⲧⲉⲣⲯⲓⲥ,"delight"
ⲁⲗⲏⲑⲱⲥ,"truly (specific usage unclear)"
ⲕⲟⲓⲗⲓⲁ,"belly, stomach"
ⲁⲡⲁⲣⲛⲁ,"to deny, be in denial"
ⲥⲉⲙⲛⲟⲥ,"honorable, noble (attributive)"
ϩⲟⲩⲧⲉⲛ,"(epithet of beauty)"
ⲓⲁⲥⲡⲓⲥ,"jasper"
ⲕⲟⲩⲫⲟⲛ,"jar"
ⲡⲗⲁⲥⲥⲉ,"to create, form, make (object: unclear)"
ⲧⲓⲧⲗⲟⲥ,"inscription"
ⲥⲧⲉⲓⲣⲁ,"barren / sterile person"
ⲡⲉⲣⲥⲟⲥ,"Persian"
ⲥⲫⲣⲁⲛϣ,"soothsayer (scribe of the House of Life")"
ⲡⲟⲛⲏⲣⲁ,"perverse, lascivioius (attributive)"
ϩⲩⲇⲣⲓⲁ,"jar, water-vessel"
ⲁⲛⲧⲱⲣⲓ,"one of mature age"
ⲡⲉⲣⲥⲏⲥ,"Persian"
ⲁⲡⲁⲧⲱⲣ,"fatherless one (benevolent superhuman being)"
ⲃⲁⲗⲕⲟⲩ,"bottle for water"
ⲁⲑⲉⲧⲉⲓ,"to betray, disown, reject (specific sense unclear)"
ⲏⲣⲉⲙⲟⲥ,"tranquil, still one (substantive)"
ⲥⲓⲛⲇⲱⲛ,"linen-cloth"
ⲇⲣⲓⲙⲙⲁ,"drink, medicine specific sense unclear"
ϩⲉⲙⲏⲣⲁ,"day, date"
ⲣⲉϯⲛⲏⲥ,"resin of the pine"
ⲕⲟⲓⲗⲁⲥ,"valley"
ⲙⲉⲛⲉⲩⲉ,"to announce oneself (object: reflexive)"
ϫⲓⲙⲫⲉϩ,"blight, storm"
ⲕⲣⲁⲧⲟⲥ,"strength, might"
ⲑⲁⲗⲓϩⲓ,"a fruit-tree"
ⲟⲩⲏⲗⲟⲛ,"veil, curtain"
ⲇⲉⲥⲡⲟⳇ,"lord, master (at the end of a speech)"
ⲕⲣⲁⲧⲏⲣ,"bowl"
ⲕⲟⲩⲫⲟⲥ,"unsubstantial, airy, vain (attributive)"
ⲗⲏⲥⲧⲏⲥ,"robber"
ⲕⲁⲧⲙⲓⲥ,"Egyptian mulberry"
ϫⲉⲗⲕⲉⲥ,"bugs"
ⲕⲁⲧⲓⲗⲁ,"cup, bowl (a measure; inverted attributive, nominal referent)"
ⲡⲁⲣⲁⲅⲉ,"to pass by, befall (specific sense unclear)"
ϩⲱⲥⲡⲉⲣ,"like as, even as"
ⲕⲣⲓⲛⲟⲛ,"lily"
ⲁⲅⲁⲑⲟⲛ,"good (substantive; general, or specific sense unclear)"
ⲕⲓⲑⲁⲣⲁ,"lyre"
ⲕⲁⲗⲕⲓⲗ,"wheel"
ⲃⲟⲩⲛⲟⲥ,"hill"
ⲫⲁⲣⲁⲅⲝ,"chasm, cleft"
ⲭⲱⲣⲉⲩⲉ,"to celebrate, praise, sing and dance (object: none)"
ⲡⲛⲉⲩⲙⲁ,"spirit (specific sense or usage unclear)"
ⲟⲩⲉⲓⲣⲉ,"irrigation machine or part of it (water wheel?)"
ⲙⲁⲟⲩⲥⲉ,"an internal organ, liver (?)"
ⲑⲉⲣⲙⲟⲥ,"hot one; ardent, enthusiastic, reckless one (substantive)"
ⲉⲗⲉⲅⲭⲉ,"to rebuke, reprimand s.o."
ⲥⲧⲁⲕⲧⲏ,"oil of myrrh"
ⲕⲩⲁⲙⲟⲩ,"bean, Vicia Faba"
ⲥⲁⲣⲡⲟⲧ,"lotus"
ⲉⲣⲃⲓⲥⲓ,"hemp"
ⲇⲓⲟⲥⲙⲏ,"a tree (more specific sense unclear)"
ⲫⲑⲟⲛⲟⲥ,"envy, jealousy, malice"
ⲭⲁⲗⲕⲟⲥ,"copper, bronze, metal"
ⲫⲗⲉⲕⲙⲁ,"inflammation, irritation"
ⲁⲅⲱⲛⲓⲁ,"anguish, (internal) struggle, trial"
ⲕⲁⲫⲁϫⲓ,"part of date-palm"
ⲟⲩⲟⲧⲡⲥ,"change? transmission?"
ⲡⲣⲁⲝⲓⲥ,"action, deed"
ⲟⲩⲟⲉⲓⲧ,"pillar"
ⲙⲟⲇⲓⲟⲛ,"a capacity measure, also: a measuring-vessel for that measure"
ⲙⲉⲛⲧⲟⲓ,"though"
ⲉⲣⲓⲕⲏⲥ,"heath (Erica arborea)"
ⲕⲣⲁⲩⲅⲏ,"shout, cry"
ⲙⲁⲥϯⲭⲉ,"mastic tree"
ⲉⲝⲟⲇⲟⲥ,"(Book of) Exodus"
ⲛⲟⲡⲓⲟⲥ,"Nubian"
ⲝⲉⲥⲧⲏⲥ,"a measure (sextarius)"
ⲛⲟⲩⲙⲟⲥ,"Nummus (a coin)"
ϣⲁϥⲟⲩⲣ,"a fish, (tilapia nilotica)"
ⲁⲗⲧⲕⲁⲥ,"marrow"
ⲕⲟⲡⲣⲓⲁ,"hill, mound of manure, dung"
ⲉⲣⲏⲙⲟⲥ,"barren, empty (substantive)"
ⲁⲙⲱⲙⲟⲛ,"blameless, unblemished, perfect"
ⲁⲧⲉⲗⲏⲥ,"untaxed, free from tax (substantive)"
ⲅⲉⲣⲧⲱⲛ,"to gain profit, to benefit from s.th."
ⲥⲏⲙⲓⲟⲛ,"token, ticket"
ⲡⲉⲣⲓⲭⲉ,"to spread st.th. over, anoint s.th."
ⲡⲁⲧⲣⲓⲥ,"homeland, fatherland"
ⲁⲇⲏⲗⲟⲥ,"unseen (attributive; referent: divine transcendent character)"
ⲟⲅⲇⲟⲁⲥ,"ogdoad (group of eight)"
ⲡⲁⲣⲟⲣⲁ,"to neglect, overlook, disregard"
ⲉⲩⲑⲉⲱⲥ,"immediately"
ⲕⲉⲗⲫⲁϫ,"truffle"
ⲥⲕⲟⲡⲟⲥ,"goal, intention, purpose"
ⲡⲉⲛⲧⲁⲥ,"pentad (group of five)"
ⲉⲙⲉϣϭⲉ,"Nile fish"
ⲁⲇⲓⲕⲱⲥ,"unjustly, unrighteously"
ⲟⲩⲁⲗⲙⲉ,"unknown meaning (something for which rent or hire paid)"
ⲑⲉⲥⲙⲟⲥ,"ordinance, rule, tradition"
ⲛⲉⲩⲣⲟⲛ,"whip, thong (for beating culprits)"
ϩⲁⲣⲙⲟⲥ,"joint (anatomical)"
ⲇⲣⲟⲙⲟⲥ,"race"
ⲑⲛⲏⲧⲟⲛ,"mortal being (substantive)"
ⲁⲡⲟⲣⲓⲛ,"to be in doubt, to be puzzled (object: none)"
ⲁⲣⲁⲥⲑⲉ,"to pray to s.o."
ⲍⲱⲇⲓⲟⲛ,"(animal) sign (of the zodiac)"
ⲁⲥⲡⲁⲍⲉ,"to greet, welcome, embrace, kiss (object: unclear)"
ⲥⲙⲓⲗⲁⲝ,"bindweed, yew"
ⲕⲟⲥⲙⲟⲥ,"world, universe, order (specific sense unclear)"
ⲉⲛⲧⲟⲗⲏ,"commandment, command, order"
ⲗⲉⲛⲧⲏⲛ,"saw"
ⲁⲓⲇⲓⲟⲥ,"eternal (substantive)"
ⲥⲧⲟⲛⲟⲥ,"labor, birth-pangs"
ⲕⲉⲟⲩⲟⲩ,"crude wax"
ⲧⲁⲩⲣⲟⲥ,"bull, ox"
ⲡⲟⲓⲙⲏⲛ,"shepherd"
ⲡⲁⲕⲧⲟⲛ,"rent (on leased land)"
ⲡⲣⲱⲧⲓⲁ,"firstness, priority"
ⲗⲁⲓⲕⲟⲥ,"layman (substantive)"
ⲭⲁⲑⲏⲟⲩ,"window"
ⲁⲡⲉⲓⲗⲉ,"to threaten, admonish s.o."
ⲑⲉⲗⲏⲙⲁ,"will (divine)"
ⲕⲩⲡⲣⲟⲥ,"henna"
ⲁⲡⲁⲑⲏⲥ,"passionless, emotionally unaffected"
ⲇⲓⲁⲗⲩⲉ,"to settle with s.o. (object2: person)"
ϭⲁⲛⲛⲁ–,"make, draw up (a list), make (a directory)"
ⲑⲁⲗⲡⲉⲓ,"to care for, take care of s.o."
ϩⲩⲗⲓⲕⲏ,"material one, one composed of matter; hylic (substantive; as specifically opposed to the
ⲡⲗⲁⲛⲟⲥ,"errant one, one in error (attributive)"
ϩⲛⲱⲱϩⲉ,"fear"
ⲫⲟⲛⲉⲩⲥ,"murderer"
ⲃⲟⲏⲑⲟⲥ,"helper, aide"
ϫⲁⲛⲓϫⲓ,"palm-fibre"
ⲥⲧⲩⲣⲁⲝ,"storax (wood)"
ϩⲉⲣⲙⲏⲥ,"Hermes (Trismegistos)"
ⲛⲟⲏⲧⲟⲛ,"[phil.} intelligible, conceivable (attributive)"
ⲡⲁⲥⲧⲟⲥ,"bridal-chamber (heavenly destination for the elect)"
ⲯⲁⲗⲧⲏⲥ,"cantor, singer of psalms"
ⲉⲓⲣⲏⲛⲏ,"peace (general or specific sense unclear)"
ⲉⲡⲉⲓⲧⲁ,"hereafter, then, and now (= ⲙⲛⲛⲥⲱⲥ) (introduces new subject)"
ϩⲟⲣⲟⲙⲁ,"sight"
ⲁⲡⲓⲣⲟⲥ,"boundless, infinite"
ⲡⲓⲥⲧⲟⲛ,"faithful (substantive)"
ⲫⲁⲩⲗⲟⲥ,"base, wicked, depraved thing (substantive)"
ⲥⲡⲁⲛⲟⲛ,"rare, uncommon (object)"
ⲕⲟⲥⲙⲓⲁ,"jewelry (substantive)"
ⲧⲣⲓⲧⲟⲛ,"third (part)"
ⲡⲣⲁⲓⲧⲁ,"to rob s.o."
ϯⲕⲛⲉⲩⲉ,"to explain s.th. to s.o."
ⲁⲙⲏⲣⲁⲥ,"starch"
ϩⲓⲥⲧⲏⲣ,"to fall behind (in due payments)"
ϩⲟⲕⲗⲉϥ,"camel-saddle"
ϫⲁⲛⲏϩⲓ,"part of waterwheel"
ⲡⲣⲟⲥⲕⳇ,"worshipper (self-designation of monks in petitions)"
ⲉⲡⲉⲓⲇⲏ,"(specific sense or usage unclear)"
ⲥⲕⲩⲑⲏⲥ,"Scythian"
ⲡⲓⲥⲧⲟⲥ,"trustworthy (specific sense unclear)"
ϩⲁⲡⲗⲱⲥ,"simply (specific sense or usage unclear)"
ⲟⲩⲕⲟⲩⲛ,"therefore, so then (specific usage unclear)"
ⲛⲁⲣⲧⲟⲥ,"(box of) unguent"
ⲁⲛⲍⲱⲛⲏ,"belt"
ⲑⲩⲡⲁϯⲁ,"consulate of s.o. (object-clause: a Roman Emperor)"
ⲙⲃⲣⲉϩⲓ,"cart"
ϫⲁⲗⲃⲉⲗ,"blinding (of the eye) (?)"
ⲕⲁⲓⲕⲟⲛ,"of earth or clay (attributive)"
ⲛⲟⲏⲥⲓⲥ,"thought, comprehension, understanding"
ⲙⲁⲗⲗⲟⲛ,"rather, especially (specific usage unclear)"
ⲡⲣⲁⲥⲥⲉ,"to manage, to be in office (object: none)"
ⲁⲧⲁⲝⲓⲁ,"disorder"
ⲕⲗⲏⲣⲟⲥ,"lot, share (specific sense unclear)"
ⲕⲁⲣⲡⲟⲥ,"fruit (specific sense unclear)"
ⲡⲁⲛⲑⲏⲣ,"panther"
ⲃⲉⲣⲃⲓⲣ,"missile, javelin"
ϩⲏⲇⲟⲛⲏ,"pleasure, delight, enjoyment (not sinful)"
ⲙⲁⲥⲟⲩⲣ,"vessel (lat. lagenula)"
ϩⲟⲙϩⲉⲙ,"tread, trample"
ⲫⲑⲟⲛⲓⲛ,"to be envious regarding s.th., bear ill-will regarding s.th."
ⲕⲏⲛⲥⲟⲥ,"tax, poll-tax"
ⲁⲇⲓⲕⲟⲥ,"unjust one (substantive)"
ⲗⲟⲅⲣⲫⲏ,"to write, inscribe"
ⲙⲉⲗⲉⲧⲏ,"act of pondering, exercise"
ⲉⲣⲃⲓⲛⲥ,"meaning unknown, cf. ⲉⲣⲃⲓⲛ (?)"
ⲭⲗⲁⲙⲩⲥ,"cloak, robe, mantle"
ⲃⲁⲣⲏⲓⲧ,"he-goat"
ⲡⲁⲣⲉⲟⲛ,"old (attributive)"
ⲗⲉⲡⲧⲟⲛ,"lepton, small copper coin"
ⲁⲅⲣⲓⲟⲛ,"wild (attributive)"
ⲕⲟⲥⲙⲉⲓ,"to put in order, adorn (specific sense or usage unclear)"
ⲧⲁⲣⲙⲟⲥ,"lupin (attributive)"
ⲁⲣⲕⲧⲟⲥ,"north"
ⲡⲟⲇⲏⲣⲏ,"long robe (substantive)"
ⲥⲩⲛⲁⲅⲉ,"to gather (intransitive)"
ϩⲉⲗⲙⲓⲥ,"worm"
ⲁⲙⲉⲗⲏⲥ,"careless, negligent (specific sense or usage unclear)"
ⲕⲁⲓⲡⲉⲣ,"although (introduces concessive clause)"
ⲛⲉⲛⲉⲃⲉ,"styrax (?)"
ϩⲁⲗⲃϣⲉ,"breast-plate"
ⲟⲩⲫⲁϫⲓ,"liver"
ⲭⲏⲣⲉⲩⲉ,"to be widowed (ingressive; object: none)"
ⲙⲓⲥⲉⲟⲥ,"green vitriol"
ⲁⲇⲓⲕⲓⲁ,"wrongdoing, injustice"
ⲕⲁⲥⲧⲱⲣ,"castoreum"
ⲃⲉⲣⲥⲓⲙ,"clover"
ⲃⲁⲑⲙⲟⲥ,"level, degree, step"
ⲫⲩⲥⲉⲱⲥ,"Nature (demiurgical, cosmic womb (of ambivalent mores))"
ϥⲓⲕⲟϩⲓ,"weaver's tool, cylinder (?)"
ⲙⲉⲧⲣⲟⲛ,"measure"
ⲑⲉⲱⲣⲓⲁ,"sight, object of vision"
ⲁϭⲟⲟⲩⲣ,"meaning unknown"
ⲕⲗⲱⲓⲗⲓ,"caul, secundina"
ⲃⲉⲛⲓⲡⲉ,"iron"
ϩⲣⲏⲧⲟⲛ,"saying, utterance"
ⲁⲙⲣⲏϩⲉ,"bitumen, asphalt"
ⲥⲧⲓⲭⲟⲥ,"row, line"
ⲁⲩⲝⲁⲛⲉ,"to (let) grow (specific sense or usage unclear)"
ⲗⲁⲙⲱⲟⲩ,"meaning unknown"
ⲁⲕⲁⲕⲓⲁ,"acacia; acacia-juice (general or specific sense unclear)"
ⲁⲡⲟⲫⲁⲛⲉ,"to show forth, display, make a revelation to s.o."
ⲥⲕⲩⲗⲗⲉⲓ,"to be troubled (object: none)"
ⲙⲉⲗⲉⲧⲟⲛ,"one who trains himself, competitor"
ⲙⲁⲥⲧⲓⲅⲝ,"whip, lashing"
ⲕⲩⲗⲓⲥⲓⲥ,"revolution (of a celestial body)"
ⲇⲟⲕⲓⲙⲟⲛ,"tried, tested, proven (substantive)"
ⲕⲁⲑⲓⲕⲱⲛ,"likeness, resemblance"
ⲁⲛϩⲟⲩⲣⲉ,"the god Onuris"
ⲃⲗⲁⲡⲧⲓⲛ,"to damage, hurt s.o."
ⲕⲟⲗⲁⲥⲓⲥ,"punishment (specific sense unclear)"
ⲙⲁⲩⲗⲓⲍⲉ,"to abuse s.o., treat s.o. ill"
ⲍⲏⲧⲏⲥⲓⲥ,"argument, debate"
ⲕⲉⲫⲁⲗⲓⲥ,"roll (of a book)"
ⲫⲩⲥⲓⲕⲟⲛ,"gender, sex"
ⲕⲉⲣⲁⲧⲥⲉ,"carat, keration"
ⲉⲩⲡⲟⲣⲉⲓ,"to raise/furnish/provide s.th. (money, expenses)"
ⲁⲛϩⲏⲕⲉⲓ,"to belong to s.th. (object: non-personal entity)"
ϭⲁⲗⲟⲩⲕⲥ,"scarab, dung beetle"
ⲡⲁⲗⲗⲁⲕⲏ,"concubine"
ⲁⲥⲫⲁⲗⲏⲥ,"(document of) security/guarantee (substantive)"
ⲡⲟⲣⲛⲉⲓⲁ,"fornication (sexual sin in general)"
ⲡⲁⲧⲁⲥⲥⲉ,"to hit, strike (down), smite s.o."
ⲡⲉⲣⲓⲁⲅⲉ,"to lead s.o. around"
ⲇⲓⲱⲅⲙⲟⲥ,"pursuit"
ⲉⲡⲓⲛⲟⲓⲁ,"thought, comprehension, consciousness (general, or specific sense unclear)"
ⲅⲉⲱⲣⲅⲟⲥ,"farmer"
ⲥⲟⲕⲙⲁϫⲓ,"long table"
ϩⲟⲡⲗⲓⲍⲉ,"to arm s.o. with s.th."
ⲙⲉⲅⲉⲑⲟⲥ,"measure, expanse"
ⲡⲟⲗⲉⲙⲉⲓ,"to fight (object: none)"
ⲁⲗⲏⲑⲓⲛⲏ,"true, real, actual (attributive)"
ⲁⲛⲁⲣⲭⲟⲥ,"one without beginning, without source (substantive; referent: divine transcendent
ϣⲁⲗⲁⲛⲟⲥ,"metal implement"
ⲁⲛⲁⲡⲁⲩⲉ,"to rest, take repose (object: none; i.e., find liberation from the cosmos)"
ϣⲗⲉⲙⲗⲉⲙ,"breed"
ϩⲟⲗⲓⲅⲟⲛ,"few, little (substantive)"
ⲛⲩⲕⲏⲥⲓⲥ,"victory"
ⲇⲓⲕⲁⲓⲱⲥ,"righteously, justly"
ⲁⲥⲫⲁⲗⲱⲥ,"assuredly, certainly"
ⲇⲓⲕⲁⲓⲟⲥ,"righteous, lawful, just (specific sense unclear)"
ⲡⲣⲟⲉⲗⲑⲉ,"to come/emanate forth, be generated (object: none)"
ⲑⲉⲗ̣ⲏⲙⲁ,"desire (attributive)"
ⲕⲁⲑⲉⲇⲣⲁ,"chair, seat"
ⲁⲙⲏⲗⲗⲟⲛ,"starch"
ⲁⲫⲉⲇⲣⲱⲛ,"toilet, latrine"
ⲡⲉⲣⲓⲟⲭⲏ,"entirety of property/furnishings"
ⲥⲁⲙⲃⲉϩⲓ,"testicles"
ⲡⲣⲁⲓⲧⲉⲓ,"loot, haul, stolen goods"
ⲕⲟⲗⲗⲁⲑⲉ,"kollathon, measuring vessel (substantive)"
ⲙⲁⲗⲓⲥⲧⲁ,"especially"
ⲗⲁⲕⲁⲙⲟⲩ,"colocynth"
ⲭⲁⲗⲕⲁⲛⲑ,"solution of blue vitriol, copper vitriol (specific sense unclear)"
ⲁⲣⲓⲑⲙⲟⲥ,"number, unit"
ⲉⲙⲯⲩⲭⲟⲛ,"ensouled, possessing a soul (substantive)"
ⲁⲡⲟⲧⲁⲅⲏ,"renunciation"
ⲁⲛϩⲉⲥⲓⲥ,"recreation, relaxation, rehabilitation"
ⲁⲗⲉⲕⲧⲱⲣ,"cock, rooster"
ⲕⲟⲗⲁⲕⲓⲁ,"flattery"
ⲭⲁⲛⲥⲣⲱϥ,"a field parasite (grasshopper?)"
ⲕⲁⲧⲁⲣⲭⲏ,"beginning, origin, foundation"
ϩⲣⲉⲡⲓⲍⲉ,"to flap (wings) in s.o.'s direction"
ⲥⲓⲛⲁϩⲃⲓ,"ingredient in boiling cauldron (mustard?)"
