word,translation,pronunciation
April,अप्रैल,aprel
May,मई,maee
June,जून,juun
July,जुलाई,julai
August,अगस्त,agast+
September,सितंबर,sitmbar
October,अक्टूबर,aktubar
November,नवंबर,navambr
December,दिसंबर,dismbr
peace,अमन,amn
forgiveness,माफी,mafi
thank you,धन्यवाद,dhnyawad
you're welcome,आप का स्वागत है,aap ka suwagt hai
please,कृप्या,kripya
sorry,क्षमा,s+hama
one,एक,aik
two,दो,doo
three,तीन,teen
four,चार,char
five,पांच,pantxh
six,छह,txheh
seven,सात,sat
eight,आठ,aat+h
nine,नौ,nau
ten,दस,ds
eleven,ग्यारह,giyarah
twelve,बारह,barah
