word,translation,pronunciation
shadow,நிழல்,n(i)Lul
darkness,இருள்,ir(u)L
dawn,விடியல்,v(i)diyu+l
day,நாள்,naal
daytime,பகல்நேரம்,p(u+)ku+l ne+ru+m
daydream,பகல் கனவு,p(u+)ku+l ku+nu+vu
dog,நாய்,naa(i)
dove,புறா,p(u)r+aa
dusk,அந்தி,u+nd+(i)
eagle/hawk,கழுகு,ku+Lug(u)
owl,ஆந்தை,aand+(u+)i
ear,காது,kaad+(u)
earth,பூமி,bum(i)
egg,முட்டை,m(u)t+u+i
seed,விதை,v(i)du+i
tadpole,பேத்தை,pe+cu+(i)
plant,பயிர்,p(u+)yir
tree,மரம்,m(u+)ru+m
bush,புதர்,p(u)d+u+r
water,தண்ணீர்,cu+n+eer
river,நதி,n(u+)ci
elbow,முழங்கை,m(u)Lu+nku+i
